ID,Employee Satisfaction,Employer Ratings,Monthly working hours
122,0.1,0.84,283
123,0.42,0.48,129
124,0.74,1,249
125,0.73,0.87,257
126,0.09,0.96,245
127,0.45,0.53,155
128,0.11,0.8,256
129,0.37,0.47,152
130,0.84,0.99,267
131,0.41,0.46,151
132,0.76,0.92,239
133,0.11,0.87,306
134,0.84,0.88,263
135,0.39,0.5,147
136,0.11,0.91,278
137,0.45,0.56,154
138,0.37,0.52,143
139,0.4,0.52,155
140,0.39,0.48,160
141,0.11,0.8,304
142,0.83,1,240
143,0.11,0.92,305
144,0.39,0.5,136
145,0.45,0.45,132
146,0.1,0.95,301
147,0.9,0.98,243
148,0.45,0.51,147
149,0.79,0.89,239
150,0.9,0.99,260
151,0.11,0.84,296
152,0.43,0.55,129
153,0.31,0.54,132
154,0.32,0.5,135
155,0.45,0.57,158
156,0.81,0.99,259
157,0.41,0.46,160
158,0.11,0.78,278
159,0.1,0.88,284
160,0.7,0.53,274
161,0.54,0.74,164
162,0.41,0.48,148
163,0.38,0.5,140
164,0.37,0.51,127
165,0.11,0.85,308
166,0.4,0.47,146
167,0.1,0.84,261
168,0.89,0.99,257
169,0.11,0.8,285
170,0.36,0.55,141
171,0.4,0.46,127
172,0.09,0.85,297
173,0.4,0.46,143
174,0.37,0.55,152
175,0.44,0.51,156
176,0.09,0.8,283
177,0.92,0.87,226
178,0.74,0.91,232
179,0.09,0.82,249
180,0.89,0.95,275
181,0.09,0.8,304
182,0.27,0.54,278
183,0.1,0.91,287
184,0.1,0.89,285
185,0.77,0.94,226
186,0.9,0.82,259
187,0.39,0.5,135
188,0.76,1,219
189,0.1,0.93,256
190,0.87,0.9,254
191,0.38,0.5,153
192,0.77,0.99,228
193,0.78,0.87,228
194,0.44,0.5,128
195,0.38,0.52,153
196,0.43,0.46,156
197,0.39,0.5,294
198,0.88,1,219
199,0.45,0.46,153
200,0.4,0.53,151
201,0.36,0.51,155
202,0.36,0.48,158
203,0.9,0.98,245
204,0.43,0.53,131
205,0.89,0.87,225
206,0.1,0.84,286
207,0.37,0.5,135
208,0.37,0.51,153
209,0.87,0.9,252
210,0.4,0.56,149
211,0.9,0.97,258
212,0.37,0.46,158
213,0.44,0.54,149
214,0.85,0.95,236
215,0.78,0.98,239
216,0.42,0.47,159
217,0.92,0.99,255
218,0.11,0.83,244
219,0.42,0.56,134
220,0.48,0.57,270
221,0.83,0.85,255
222,0.4,0.53,151
223,0.43,0.45,135
224,0.43,0.53,146
225,0.1,0.97,254
226,0.1,0.87,289
227,0.37,0.46,156
228,0.38,0.53,156
229,0.4,0.5,128
230,0.89,0.86,275
231,0.45,0.46,155
232,0.37,0.48,159
233,0.46,0.49,148
234,0.87,0.91,228
235,0.11,0.84,298
236,0.79,0.87,261
237,0.79,0.92,254
238,0.19,0.59,192
239,0.87,0.98,248
240,0.6,0.92,258
241,0.44,0.45,156
242,0.11,0.81,266
243,0.42,0.54,156
244,0.88,0.88,232
245,0.11,0.84,287
246,0.46,0.46,154
247,0.82,0.97,263
248,0.44,0.56,131
249,0.11,0.78,260
250,0.42,0.5,139
251,0.84,0.93,251
252,0.11,0.95,286
253,0.45,0.53,129
254,0.38,0.56,156
255,0.38,0.86,139
256,0.44,0.51,127
257,0.11,0.84,251
258,0.81,0.93,270
259,0.09,0.96,296
260,0.11,0.9,254
261,0.81,0.95,238
262,0.1,0.97,267
263,0.74,0.89,229
264,0.09,0.78,254
265,0.82,0.81,233
266,0.1,0.98,268
267,0.27,0.56,301
268,0.83,0.92,267
269,0.1,0.93,289
270,0.38,0.47,144
271,0.4,0.56,148
272,0.11,0.83,306
273,0.11,0.79,292
274,0.82,0.91,232
275,0.36,0.48,137
276,0.4,0.46,128
277,0.87,0.84,231
278,0.41,0.49,146
279,0.11,0.91,308
280,0.1,0.93,253
281,0.38,0.51,146
282,0.39,0.55,156
283,0.4,0.52,147
284,0.45,0.48,136
285,0.74,0.84,249
286,0.45,0.55,151
287,0.12,1,278
288,0.1,0.77,250
289,0.37,0.55,127
290,0.89,0.87,255
291,0.45,0.47,135
292,0.37,0.46,149
293,0.11,0.81,287
294,0.41,0.48,145
295,0.1,0.94,285
296,0.1,0.93,305
297,0.11,0.95,300
298,0.4,0.54,139
299,0.41,0.49,130
300,0.1,0.81,268
301,0.73,0.86,245
302,0.43,0.47,135
303,0.37,0.46,153
304,0.11,0.94,276
305,0.4,0.46,130
306,0.41,0.54,153
307,0.82,0.84,244
308,0.61,0.47,253
309,0.11,0.91,287
310,0.37,0.45,131
311,0.41,0.52,135
312,0.37,0.52,157
313,0.88,0.99,262
314,0.1,0.85,266
315,0.44,0.48,148
316,0.38,0.57,140
317,0.11,0.85,302
318,0.09,0.98,271
319,0.45,0.52,145
320,0.1,0.81,290
321,0.45,0.47,151
322,0.77,0.87,266
323,0.44,0.51,140
324,0.39,0.5,142
325,0.1,0.91,246
326,0.09,0.89,308
327,0.37,0.47,141
328,0.9,1,232
329,0.41,0.56,143
330,0.37,0.52,155
331,0.1,0.86,278
332,0.81,1,253
333,0.11,0.8,282
334,0.11,0.84,264
335,0.4,0.46,149
336,0.09,0.8,304
337,0.48,0.93,219
338,0.91,0.91,262
339,0.43,0.57,135
340,0.33,0.88,219
341,0.41,0.57,136
342,0.41,0.55,154
343,0.37,0.54,149
344,0.31,0.62,135
345,0.09,0.91,275
346,0.1,0.87,290
347,0.76,0.9,263
348,0.41,0.54,145
349,0.72,0.96,267
350,0.4,0.5,141
351,0.91,0.87,235
352,0.1,0.83,258
353,0.4,0.56,131
354,0.82,0.86,243
355,0.1,0.82,266
356,0.37,0.45,142
357,0.36,0.51,135
358,0.39,0.48,141
359,0.36,0.57,142
360,0.86,0.84,254
361,0.73,0.99,262
362,0.56,0.71,296
363,0.44,0.56,158
364,0.31,0.56,238
365,0.77,0.93,231
366,0.44,0.45,156
367,0.38,0.46,145
368,0.45,0.48,144
369,0.38,0.51,159
370,0.36,0.48,156
371,0.75,0.9,256
372,0.1,0.93,298
373,0.1,0.97,247
374,0.45,0.5,157
375,0.42,0.57,154
376,0.78,1,253
377,0.45,0.55,148
378,0.84,1,261
379,0.11,0.93,282
380,0.42,0.56,133
381,0.45,0.46,128
382,0.46,0.57,139
383,0.09,0.79,293
384,0.87,0.83,265
385,0.1,0.87,250
386,0.91,1,251
387,0.76,0.92,246
388,0.74,1,275
389,0.92,0.93,240
390,0.76,0.87,245
391,0.47,0.5,254
392,0.73,0.99,241
393,0.09,0.94,257
394,0.91,0.92,246
395,0.82,0.98,233
396,0.28,0.45,218
397,0.84,0.99,262
398,0.45,0.53,138
399,0.45,0.54,142
400,0.91,0.97,233
401,0.42,0.48,155
402,0.82,1,229
403,0.11,0.9,264
404,0.42,0.53,199
405,0.82,0.85,223
406,0.09,0.96,268
407,0.1,0.94,287
408,0.86,1,257
409,0.4,0.46,143
410,0.45,0.46,130
411,0.42,0.51,136
412,0.74,0.92,261
413,0.55,0.6,180
414,0.37,0.45,126
415,0.41,0.52,127
416,0.89,0.65,195
417,0.41,0.57,160
418,0.44,0.51,150
419,0.87,0.84,264
420,0.1,0.84,309
421,0.41,0.47,135
422,0.11,0.85,261
423,0.43,0.53,160
424,0.77,0.9,237
425,0.41,0.52,136
426,0.41,0.48,139
427,0.36,0.78,151
428,0.77,1,229
429,0.81,0.98,245
430,0.39,0.54,127
431,0.09,0.94,283
432,0.44,0.46,143
433,0.1,0.84,298
434,0.36,0.48,159
435,0.81,0.92,239
436,0.81,0.9,226
437,0.85,0.98,248
438,0.1,0.87,286
439,0.37,0.54,145
440,0.09,0.97,254
441,0.44,0.53,127
442,0.86,0.93,223
443,0.77,1,255
444,0.41,0.48,136
445,0.4,0.48,137
446,0.43,0.49,135
447,0.43,0.5,137
448,0.8,0.53,255
449,0.8,0.85,273
450,0.82,0.98,234
451,0.37,0.54,152
452,0.37,0.48,134
453,0.09,0.95,292
454,0.9,0.92,245
455,0.41,0.52,159
456,0.1,0.85,260
457,0.44,0.53,149
458,0.89,0.85,266
459,0.42,0.56,149
460,0.87,1,242
461,0.45,0.57,134
462,0.11,0.87,271
463,0.09,0.79,275
464,0.76,0.83,227
465,0.11,0.96,277
466,0.37,0.49,151
467,0.1,0.79,274
468,0.77,0.87,242
469,0.42,0.54,143
470,0.38,0.52,145
471,0.32,0.95,172
472,0.38,0.49,135
473,0.19,1,192
474,0.1,0.83,276
475,0.76,0.88,206
476,0.53,0.56,281
477,0.39,0.51,151
478,0.11,0.83,244
479,0.1,0.94,309
480,0.84,1,218
481,0.82,0.99,263
482,0.1,0.82,244
483,0.59,0.49,263
484,0.44,0.48,143
485,0.89,0.95,181
486,0.91,0.84,265
487,0.66,0.57,161
488,0.11,0.87,282
489,0.43,0.51,155
490,0.78,0.83,217
491,0.11,0.97,289
492,0.83,0.98,259
493,0.39,0.54,158
494,0.38,0.55,158
495,0.37,0.57,155
496,0.44,0.48,146
497,0.53,0.85,164
498,0.09,0.96,259
499,0.11,0.89,293
500,0.83,0.96,275
501,0.88,1,219
502,0.1,0.89,247
503,0.09,0.86,309
504,0.44,0.54,151
505,0.39,0.51,129
506,0.87,0.94,274
507,0.74,0.99,233
508,0.1,0.95,289
509,0.74,0.82,239
510,0.75,0.99,221
511,0.41,0.56,150
512,0.41,0.45,144
513,0.09,0.9,289
514,0.09,0.8,301
515,0.39,0.57,145
516,0.4,0.56,137
517,0.37,0.54,131
518,0.1,0.84,246
519,0.43,0.51,136
520,0.75,0.85,240
521,0.37,0.56,156
522,0.11,0.85,305
523,0.45,0.45,154
524,0.87,1,261
525,0.11,0.94,244
526,0.45,0.54,129
527,0.81,0.87,254
528,0.77,0.91,236
529,0.89,0.92,237
530,0.43,0.49,135
531,0.78,1,236
532,0.37,0.47,149
533,0.37,0.5,141
534,0.85,0.82,270
535,0.41,0.47,138
536,0.11,0.96,298
537,0.75,0.99,254
538,0.82,0.85,248
539,0.79,1,257
540,0.43,0.53,150
541,0.1,0.9,281
542,0.46,0.48,141
543,0.43,0.57,157
544,0.43,0.55,136
545,0.11,0.8,296
546,0.09,0.86,279
547,0.37,0.53,131
548,0.4,0.57,160
549,0.1,0.77,291
550,0.41,0.53,157
551,0.79,0.58,294
552,0.11,0.79,310
553,0.1,0.97,282
554,0.44,0.51,134
555,0.25,0.46,214
556,0.44,0.52,137
557,0.73,1,252
558,0.75,0.97,243
559,0.36,0.47,148
560,0.37,0.49,151
561,0.39,0.49,129
562,0.48,0.78,198
563,0.57,0.72,275
564,0.9,0.96,243
565,0.39,0.55,159
566,0.44,0.51,145
567,0.81,0.88,242
568,0.74,0.87,242
569,0.44,0.56,145
570,0.41,0.56,154
571,0.4,0.51,139
572,0.46,0.57,152
573,0.8,0.83,211
574,0.87,0.9,258
575,0.39,0.54,155
576,0.38,0.55,148
577,0.66,0.67,255
578,0.1,0.8,264
579,0.37,0.54,132
580,0.1,0.77,255
581,0.09,0.87,263
582,0.86,0.84,222
583,0.11,0.9,263
584,0.37,0.46,157
585,0.11,0.92,307
586,0.77,0.98,259
587,0.84,0.94,222
588,0.1,0.84,250
589,0.83,0.9,245
590,0.11,0.79,292
591,0.86,0.92,252
592,0.38,0.56,161
593,0.11,0.88,250
594,0.45,0.49,134
595,0.1,0.85,279
596,0.09,0.95,256
597,0.39,0.53,127
598,0.37,0.47,138
599,0.81,0.97,243
600,0.09,0.9,296
601,0.1,0.88,267
602,0.39,0.49,144
603,0.83,0.95,251
604,0.45,0.57,148
605,0.43,0.51,141
606,0.8,0.75,268
607,0.1,0.86,247
608,0.1,0.55,247
609,0.36,0.52,146
610,0.38,0.5,140
611,0.78,0.98,263
612,0.1,0.9,286
613,0.34,0.67,141
614,0.11,0.89,260
615,0.38,0.56,154
616,0.82,0.92,225
617,0.39,0.57,127
618,0.44,0.53,140
619,0.43,0.52,147
620,0.84,0.83,227
621,0.43,0.48,153
622,0.37,0.52,128
623,0.74,0.97,228
624,0.73,0.97,235
625,0.37,0.47,148
626,0.58,0.62,238
627,0.4,0.54,141
628,0.51,0.83,249
629,0.46,0.5,151
630,0.45,0.54,129
631,0.46,0.5,156
632,0.39,0.45,134
633,0.09,0.88,269
634,0.09,0.77,290
635,0.37,0.51,132
636,0.1,0.89,308
637,0.77,1,232
638,0.79,0.86,235
639,0.43,0.55,130
640,0.38,0.53,146
641,0.77,0.91,221
642,0.44,0.5,130
643,0.39,0.46,136
644,0.78,0.89,274
645,0.1,0.79,256
646,0.1,0.77,276
647,0.75,0.85,267
648,0.46,0.62,213
649,0.91,0.97,274
650,0.1,0.92,258
651,0.72,0.6,153
652,0.11,0.95,245
653,0.11,0.94,264
654,0.46,0.57,154
655,0.37,0.46,149
656,0.46,0.5,157
657,0.43,0.57,127
658,0.11,0.82,270
659,0.73,0.89,236
660,0.43,0.47,158
661,0.86,1,229
662,0.1,0.83,269
663,0.4,0.49,128
664,0.11,0.87,278
665,0.86,0.98,158
666,0.42,1,202
667,0.79,0.84,240
668,0.1,0.96,255
669,0.09,0.92,254
670,0.09,0.82,257
671,0.87,1,228
672,0.36,0.49,145
673,0.42,0.75,218
674,0.84,0.86,268
675,0.1,0.83,278
676,0.78,0.71,249
677,0.35,0.99,236
678,0.1,0.81,291
679,0.11,0.8,306
680,0.43,0.48,135
681,0.38,0.45,156
682,0.46,0.54,143
683,0.89,0.82,243
684,0.45,0.5,147
685,0.44,0.53,159
686,0.74,0.54,216
687,0.45,0.54,152
688,0.79,0.93,226
689,0.79,0.91,271
690,0.11,0.87,255
691,0.42,0.48,140
692,0.64,0.9,252
693,0.4,0.55,159
694,0.84,0.98,270
695,0.73,0.92,232
696,0.4,0.51,144
697,0.36,0.45,127
698,0.43,0.47,131
699,0.11,0.78,243
700,0.91,1,244
701,0.8,1,260
702,0.42,0.49,139
703,0.31,0.87,184
704,0.44,0.47,130
705,0.38,0.54,135
706,0.45,0.56,146
707,0.43,0.46,149
708,0.45,0.46,153
709,0.43,0.57,160
710,0.43,0.49,160
711,0.09,0.83,282
712,0.43,0.47,128
713,0.79,0.94,232
714,0.85,0.58,226
715,0.38,0.45,129
716,0.11,0.92,255
717,0.83,0.99,258
718,0.81,0.91,229
719,0.42,0.56,143
720,0.11,0.87,257
721,0.11,0.85,275
722,0.1,0.89,291
723,0.5,0.54,153
724,0.44,0.49,154
725,0.11,0.9,301
726,0.39,0.52,134
727,0.11,0.78,245
728,0.36,0.5,132
729,0.43,0.51,130
730,0.4,0.5,127
731,0.86,0.84,246
732,0.38,0.49,145
733,0.46,0.45,138
734,0.37,0.57,129
735,0.43,0.52,150
736,0.66,0.93,253
737,0.37,0.48,160
738,0.77,0.92,235
739,0.38,0.55,151
740,0.39,0.54,127
741,0.41,0.55,151
742,0.1,0.9,290
743,0.09,0.93,249
744,0.41,0.47,131
745,0.39,0.46,159
746,0.83,0.99,223
747,0.09,0.87,214
748,0.75,0.81,227
749,0.44,0.54,127
750,0.1,0.84,293
751,0.42,0.46,141
752,0.1,0.83,300
753,0.1,0.86,309
754,0.31,0.77,149
755,0.42,0.54,159
756,0.38,0.5,152
757,0.39,0.57,158
758,0.1,0.97,254
759,0.11,0.93,294
760,0.1,0.92,269
761,0.11,0.9,247
762,0.44,0.65,271
763,0.91,0.96,232
764,0.72,1,245
765,0.36,0.46,132
766,0.44,0.57,131
767,0.85,0.99,248
768,0.78,0.93,225
769,0.39,0.46,156
770,0.78,0.81,222
771,0.1,0.92,243
772,0.23,0.99,204
773,0.11,0.87,301
774,0.9,0.83,259
775,0.91,0.89,247
776,0.11,0.79,295
777,0.43,0.54,150
778,0.45,0.49,151
779,0.11,0.91,291
780,0.11,0.93,253
781,0.43,0.5,161
782,0.91,0.97,251
783,0.43,0.55,153
784,0.85,0.82,264
785,0.1,0.77,310
786,0.81,0.95,266
787,0.36,0.62,237
788,0.45,0.54,138
789,0.86,1,227
790,0.71,1,300
791,0.11,0.97,310
792,0.84,0.93,236
793,0.09,0.97,288
794,0.38,0.49,127
795,0.15,0.55,139
796,0.1,0.92,253
797,0.8,0.97,218
798,0.84,0.97,251
799,0.11,0.87,264
800,0.89,0.79,149
801,0.45,0.51,138
802,0.11,0.93,284
803,0.74,0.93,244
804,0.41,0.5,128
805,0.44,0.53,154
806,0.37,0.56,138
807,0.11,0.86,308
808,0.1,0.93,269
809,0.7,0.74,136
810,0.59,1,160
811,0.38,0.53,138
812,0.72,0.95,220
813,0.73,1,274
814,0.39,0.48,161
815,0.89,0.82,224
816,0.89,1,260
817,0.11,0.78,300
818,0.43,0.56,133
819,0.09,0.93,308
820,0.81,0.9,238
821,0.37,0.53,126
822,0.36,0.56,138
823,0.11,0.85,299
824,0.1,0.85,254
825,0.66,0.47,156
826,0.39,0.47,152
827,0.44,0.51,146
828,0.1,0.84,253
829,0.79,0.94,227
830,0.1,0.81,301
831,0.54,0.94,294
832,0.37,0.47,151
833,0.37,0.57,128
834,0.82,0.89,217
835,0.45,0.52,160
836,0.79,0.9,263
837,0.42,0.56,156
838,0.1,0.85,273
839,0.11,0.78,303
840,0.74,1,253
841,0.1,0.93,270
842,0.79,1,218
843,0.43,0.48,144
844,0.41,0.47,154
845,0.39,0.55,146
846,0.1,0.94,260
847,0.82,0.85,218
848,0.41,0.46,128
849,0.42,0.56,128
850,0.74,0.88,248
851,0.38,0.57,152
852,0.39,0.56,126
853,0.87,0.94,260
854,0.1,0.9,263
855,0.78,1,220
856,0.14,0.73,282
857,0.11,0.94,277
858,0.91,0.94,257
859,0.49,0.63,265
860,0.38,0.47,143
861,0.82,0.97,263
862,0.38,0.88,154
863,0.89,1,253
864,0.11,0.79,294
865,0.37,0.51,128
866,0.38,0.5,153
867,0.78,0.87,256
868,0.41,0.51,127
869,0.41,0.51,137
870,0.11,0.83,295
871,0.11,0.79,281
872,0.43,0.57,131
873,0.75,0.86,237
874,0.74,0.99,276
875,0.85,0.85,267
876,0.73,0.92,266
877,0.1,0.79,294
878,0.44,0.56,134
879,0.3,0.56,309
880,0.11,0.77,273
881,0.84,0.83,238
882,0.78,0.94,271
883,0.43,0.53,145
884,0.36,0.55,152
885,0.43,0.47,128
886,0.45,0.46,142
887,0.76,0.93,238
888,0.1,0.78,286
889,0.09,0.86,291
890,0.92,1,259
891,0.92,0.9,248
892,0.79,0.98,271
893,0.43,0.51,140
894,0.8,0.95,274
895,0.44,0.49,127
896,0.89,0.87,275
897,0.48,0.88,239
898,0.11,0.82,304
899,0.38,0.55,145
900,0.11,0.85,259
901,0.82,0.86,264
902,0.37,0.45,160
903,0.4,0.48,138
904,0.43,0.47,137
905,0.44,0.5,156
906,0.42,0.56,147
907,0.11,0.8,243
908,0.78,0.87,236
909,0.46,0.86,212
910,0.77,0.91,261
911,0.83,0.82,243
912,0.32,0.58,271
913,0.9,0.92,154
914,0.42,0.52,151
915,0.1,0.96,254
916,0.1,0.91,285
917,0.44,0.49,130
918,0.1,0.95,301
919,0.11,0.8,286
920,0.1,0.89,246
921,0.39,0.47,135
922,0.92,0.92,245
923,0.43,0.56,136
924,0.11,0.89,301
925,0.81,1,235
926,0.11,0.85,272
927,0.87,1,274
928,0.37,0.46,131
929,0.39,0.56,135
930,0.61,0.86,196
931,0.11,0.95,285
932,0.09,0.9,289
933,0.36,0.52,157
934,0.09,0.94,308
935,0.41,0.71,301
936,0.4,0.46,131
937,0.1,0.91,262
938,0.46,0.53,143
939,0.39,0.57,133
940,0.41,0.5,153
941,0.1,0.94,281
942,0.39,0.51,132
943,0.73,0.83,270
944,0.41,0.45,150
945,0.37,0.51,140
946,0.38,0.5,150
947,0.8,0.63,180
948,0.09,0.85,281
949,0.85,0.92,275
950,0.42,0.54,130
951,0.41,0.48,130
952,0.38,0.46,147
953,0.72,1,264
954,0.11,0.74,290
955,0.37,0.47,150
956,0.1,0.81,304
957,0.36,0.54,136
958,0.92,0.94,307
959,0.11,0.87,303
960,0.39,0.56,156
961,0.11,0.95,271
962,0.45,0.45,140
963,0.44,0.55,130
964,0.85,0.97,266
965,0.43,0.52,139
966,0.75,0.86,260
967,0.11,0.55,137
968,0.36,0.5,158
969,0.1,0.79,249
970,0.74,0.89,259
971,0.4,0.46,144
972,0.09,0.77,244
973,0.76,0.91,219
974,0.45,0.57,151
975,0.84,0.88,269
976,0.38,0.45,127
977,0.38,0.46,144
978,0.38,0.54,157
979,0.86,0.94,224
980,0.37,0.46,155
981,0.37,0.5,131
982,0.87,1,258
983,0.11,0.85,267
984,0.42,0.5,141
985,0.43,0.48,160
986,0.09,0.8,247
987,0.54,0.56,260
988,0.4,0.47,151
989,0.36,0.52,137
990,0.87,0.9,256
991,0.75,0.88,239
992,0.43,0.53,152
993,0.43,0.47,149
994,0.1,0.87,284
995,0.11,0.78,248
996,0.44,0.53,156
997,0.39,0.48,138
998,0.4,0.55,155
999,0.92,0.87,229
1000,0.36,0.47,136
1001,0.86,0.95,241
1002,0.74,0.87,258
1003,0.8,0.95,146
1004,0.36,0.48,145
1005,0.42,0.57,159
1006,0.42,0.47,129
1007,0.4,0.45,142
1008,0.46,0.53,129
1009,0.09,0.9,287
1010,0.88,0.89,275
1011,0.1,0.82,272
1012,0.1,0.97,307
1013,0.11,0.93,295
1014,0.84,0.88,237
1015,0.42,0.56,158
1016,0.1,0.86,266
1017,0.1,0.95,256
1018,0.46,0.54,158
1019,0.09,0.97,268
1020,0.89,1,237
1021,0.82,1,273
1022,0.11,0.89,309
1023,0.81,0.84,258
1024,0.81,0.94,233
1025,0.77,1,249
1026,0.63,0.94,179
1027,0.4,0.57,128
1028,0.86,1,250
1029,0.37,0.49,151
1030,0.44,0.5,132
1031,0.74,0.89,232
1032,0.79,1,229
1033,0.09,0.92,261
1034,0.37,0.48,129
1035,0.09,0.78,244
1036,0.09,0.84,258
1037,0.1,0.8,292
1038,0.45,0.56,143
1039,0.4,0.51,136
1040,0.31,0.95,235
1041,0.7,0.93,310
1042,0.36,0.48,152
1043,0.34,0.97,157
1044,0.87,0.83,267
1045,0.11,0.91,302
1046,0.47,0.81,133
1047,0.43,0.52,142
1048,0.43,0.47,129
1049,0.45,0.57,136
1050,0.74,1,223
1051,0.1,0.89,244
1052,0.78,0.87,243
1053,0.9,0.95,275
1054,0.53,0.95,205
1055,0.45,0.54,154
1056,0.86,0.83,270
1057,0.74,0.89,267
1058,0.09,0.79,276
1059,0.8,0.95,244
1060,0.46,0.53,128
1061,0.86,0.95,269
1062,0.86,0.95,238
1063,0.9,0.91,269
1064,0.87,0.88,231
1065,0.83,0.94,267
1066,0.77,0.83,245
1067,0.77,1,272
1068,0.9,0.86,254
1069,0.73,0.92,273
1070,0.91,0.9,250
1071,0.36,0.53,133
1072,0.38,0.54,150
1073,0.44,0.46,157
1074,0.73,1,230
1075,0.89,0.91,260
1076,0.11,0.77,275
1077,0.1,0.77,308
1078,0.37,0.46,129
1079,0.38,0.48,134
1080,0.42,0.48,132
1081,0.44,0.46,153
1082,0.11,0.83,262
1083,0.09,0.97,262
1084,0.43,0.47,130
1085,0.38,0.52,156
1086,0.11,0.89,254
1087,0.37,0.49,130
1088,0.44,0.57,139
1089,0.72,0.82,269
1090,0.1,0.91,297
1091,0.73,0.86,249
1092,0.09,0.82,267
1093,0.44,0.46,149
1094,0.09,0.82,251
1095,0.1,0.87,306
1096,0.11,0.86,279
1097,0.42,0.46,131
1098,0.09,0.85,260
1099,0.72,0.88,249
1100,0.75,0.97,245
1101,0.44,0.5,138
1102,0.11,0.91,278
1103,0.38,0.47,147
1104,0.39,0.57,131
1105,0.1,0.9,301
1106,0.43,0.52,141
1107,0.39,0.57,158
1108,0.88,0.87,235
1109,0.1,0.85,261
1110,0.1,0.89,270
1111,0.11,0.93,290
1112,0.37,0.47,149
1113,0.37,0.48,160
1114,0.77,0.87,150
1115,0.91,0.94,218
1116,0.46,0.51,155
1117,0.11,0.87,291
1118,0.86,0.91,265
1119,0.87,0.88,262
1120,0.09,0.92,303
1121,0.42,0.46,132
1122,0.82,0.83,245
1123,0.46,0.48,129
1124,0.88,1,226
1125,0.1,0.91,286
1126,0.43,0.45,140
1127,0.37,0.49,153
1128,0.8,0.95,217
1129,0.83,0.95,258
1130,0.39,0.57,156
1131,0.77,0.92,255
1132,0.43,0.46,129
1133,0.79,0.96,234
1134,0.39,0.55,152
1135,0.1,0.88,300
1136,0.39,0.53,131
1137,0.11,0.89,301
1138,0.4,0.51,156
1139,0.42,0.52,141
1140,0.57,0.85,219
1141,0.11,0.95,269
1142,0.36,0.73,276
1143,0.11,0.94,302
1144,0.35,0.8,281
1145,0.78,0.99,241
1146,0.11,0.93,288
1147,0.1,0.96,303
1148,0.42,0.54,135
1149,0.43,0.5,127
1150,0.79,0.84,245
1151,0.45,0.45,145
1152,0.09,0.91,248
1153,0.11,0.91,302
1154,0.45,0.49,144
1155,0.11,0.91,272
1156,0.09,0.8,294
1157,0.78,0.71,296
1158,0.38,0.5,151
